TIER,REGIÃO,RESULTADO,DATA,SEM,Nome de Familia,Kill,Death,STREAK,DMG APP,DMG REC,CC,SELF HEAL,ALLY HEAL,PINO DMG,CNON ACC,CNON DEST,CNON DIST,TRAPS,DAED TIME,SURV TIME
T2,Calpheon,PARTICIPAÇÃO,30/04/2026,Qui,Ahzzim,4,12,2,"152,700","287,900",9,"224,100","324,100","4,300,000",0,0,0,0,0,0
,,,30/04/2026,Qui,ExtincT,11,7,3,"370,800","267,600",24,"213,500","26,208","1,300,000",0,0,0,0,0,0
,,,30/04/2026,Qui,Infa,30,10,7,"696,300","325,300",109,"258,900","41,098","2,600,000",0,0,0,0,0,0
,,,30/04/2026,Qui,Kosh,17,11,3,"518,700","425,200",70,"348,200","39,377","1,700,000",0,0,0,0,0,0
,,,30/04/2026,Qui,Patren,7,9,1,"194,000","205,000",18,"124,800","16,702","1,700,000",0,0,0,0,0,0
,,,30/04/2026,Qui,Anthropos,6,9,1,"247,000","190,200",37,"111,500","16,379","1,900,000",0,0,0,0,0,0
,,,30/04/2026,Qui,Azly,6,14,1,"133,700","289,200",11,"180,900","162,700","1,900,000",0,0,0,0,0,0
,,,30/04/2026,Qui,Kaonaxx,9,17,3,"140,300","310,100",24,"145,600","23,793","723,700",0,0,0,0,0,0
,,,30/04/2026,Qui,ANF,1,18,1,"137,900","355,200",26,"182,800","33,697","199,100",0,0,0,0,0,0
,,,30/04/2026,Qui,Tdz1,10,9,3,"382,600","325,800",29,"280,300","44,021","1,600,000",0,0,0,0,0,0
,,,30/04/2026,Qui,Goushin,7,10,2,"219,200","279,400",23,"201,600","22,350","1,900,000",0,0,0,0,0,0
,,,30/04/2026,Qui,Hauks,1,22,1,"25,603","340,000",21,"119,800","266,500","2,200,000",0,0,0,0,0,0
,,,30/04/2026,Qui,Likimo,22,8,4,"591,700","196,500",39,"123,800","19,519","4,000,000",0,0,0,0,0,0
,,,30/04/2026,Qui,Haro33,13,9,2,"369,000","276,100",40,"199,900","25,822","1,700,000",0,0,0,0,0,0
,,,30/04/2026,Qui,Desecrate,0,8,0,"45,533","132,700",15,"70,577","8,556","541,200",0,0,0,0,0,0
,,,30/04/2026,Qui,Kvaratskhelia7,18,11,3,"369,100","326,000",31,"238,800","32,392","4,000,000",0,0,0,0,0,0
,,,30/04/2026,Qui,Slow,6,11,1,"204,000","241,200",48,"150,900","17,977","1,900,000",0,0,0,0,0,0
,,,30/04/2026,Qui,PAULAOl,11,4,1,"515,700","213,600",48,"193,600","44,813","2,600,000",0,0,0,0,0,0
,,,30/04/2026,Qui,LinnWatts,2,14,1,"95,872","237,600",48,"119,800","17,163","977,800",0,0,0,0,0,0
,,,30/04/2026,Qui,GhostFarmer,7,15,1,"353,100","388,000",42,"297,400","35,588","4,900,000",0,0,0,0,0,0
,,,30/04/2026,Qui,Honsberg,0,16,0,"34,631","318,100",10,"159,700","169,200","2,100,000",0,0,0,0,0,0
,,,30/04/2026,Qui,Tripaloska,12,11,2,"364,500","346,900",26,"269,000","25,565","4,800,000",0,0,0,0,0,0
,,,30/04/2026,Qui,BloodAxe,14,14,1,"241,500","340,500",35,"221,300","36,645","1,000,000",0,0,0,0,0,0
,,,30/04/2026,Qui,Hogma,0,13,0,"18,577","269,900",4,"136,700","234,400","192,400",0,0,0,0,0,0
,,,30/04/2026,Qui,VitaoX,2,13,1,"183,300","343,300",43,"237,400","31,738","2,200,000",0,0,0,0,0,0
,,,30/04/2026,Qui,Mayke,0,11,0,551,"161,000",0,"61,305","78,965","1,479",0,0,0,0,0,0
,,,30/04/2026,Qui,Illumi,13,12,2,"239,400","332,700",49,"256,800","39,409","6,300,000",0,0,0,0,0,0
