nome_familia,grupo,classe
Cbum,Caller,Sage
ANF,Frontline,Guerreiro
Extinct,Flanco,DK
Illumi,Frontline,Mística
Slow,Flanco,Ninja
Tdz1,Frontline,DoSa
Linnwatts,Scout,Arqueiro
Azly,Caller,Domadora
Japah,Defesa,Striker
Ahzzim,Frontline,Corsária
Veigan,Bolo,DoSa
DEC,Bolo,Hashashin
Infa,Bolo,Sage
Kosh,Flanco,Hashashin
Mayke,Shai,Shai
PAULAOl,Backline,Arqueiro
Tripaloska,Bolo,DoSa
ViTaoX,Bomber,Zerk
Blue,Bolo,DoSa
FerreirasLima,Flanco,Guardiã
Hades_PvP,Bolo,Sage
IHarvestI,Flanco,Erudita
Juggernauth,Indefinido,
LegendaryWitch,Bolo,Bruxa
MrXinzhaoOo,Frontline,Striker
Patren,Backline,Arqueiro
Runids,Shai,Shai
SHIRAS,Flanco,Hashashin
TKiller,Backline,Caçadora
Xtene,Bomber,Zerk
ZyRox,Backline,Caçadora
AlmeidaS,Frontline,Nova
BackAttack,Frontline,Striker
Beatersx,Flanco,Feiticeira
DrGabrielDr,Frontline,Erudita
Henkkai,Frontline,Striker
Hitokiri,Flanco,Ninja
KaliliM,Indefinido,
Sif,Frontline,Valquiria
Sylar,Flanco,Ninja
YANKEES,Frontline,Striker
Yufine,Flanco,Feiticeira
ZeRoBlaCkOuT,Frontline,Mística
ZTioSaN,Flanco,Kunoichi
Ghunts,Frontline,Valquiria
Hogma,Shai,Shai
Kleinzera,Backline,Caçadora
MitinGod,Frontline,Striker
Murico,Frontline,Guardiã
Sixs,Backline,Caçadora
SkySlater,Flanco,Kunoichi
TioTed,Bolo,DoSa
Whiskeys,Bolo,DoSa
Xterminator,Flanco,Musah
Hrodrich,Bolo,Sage
Largo_moto,Flanco,Ninja
Potterzinho,Backline,Arqueiro
Severoz,Frontline,Erudita
Urahara,Bolo,Drakania
Atomica,Bolo,Drakania
Brecador,Frontline,Striker
Kordri,Frontline,Striker
Maby,Shai,Shai
SsFenixsS,Frontline,Mística
ZRyotta,Bolo,DoSa
MoicaSlip,Bolo,DoSa
BololoHAHAHAHA,Frontline,Guardiã
Germinix,Shai,Shai
Haro33,Backline,Arqueiro
Kolicheva,Shai,Shai
ROXXON,Backline,Caçadora
Vitiin,Backline,Caçadora
Voltroon,Bolo,DoSa
Arquitorto,Bolo,Seraph
GDzinn,Flanco,Seraph
Jdiew,Bolo,Drakania
XxGILxX,Frontline,Bruxa
KingDark,Frontline,Guardiã
TiuPita,Bolo,Musah
Honsberg,Flanco,Feiticeira
Strongszoldkz,Bolo,Deadeye
Abeguar,Flame,Guardiã
Hauks,Bolo,Mago
OxiTo,Frontline,Mística
KIDISGRAMA,Shai,Shai
Portela,Bolo,MeGu
Denzell,Flanco,MeGu
OPeres,Frontline,Striker
Anthropos,Frontline,Striker
CorvoNegroo,Flanco,Sage
Goushin,Bolo,DoSa
Likimo,Backline,Caçadora
BloodAxe,Frontline,Zerk
Ghostfarmer,Frontline,Striker
