nome_familia,kills,mortes,sequencia,dano_em_player,dano_recebido,ccs,cura_propria,cura_aliados,dano_do_pino,acerto_canhao,estruturas_canhao,distancia_canhao,armadilha_disparos,tempo_morto,tempo_sobrevivencia
KingDarK,24,22,5,635.1k,717.2k,54,469.8k,157.1k,6.7M,0,0,0,0,09:56,35:07
Azly,13,23,3,327.7k,417.7k,41,162.7k,29561,6.4M,0,0,0,0,24:11,20:52
Infa,54,22,7,1.4M,617.3k,230,368.9k,48673,330.5k,0,0,0,0,10:49,34:14
Illumi,14,18,2,431.2k,625.6k,73,419.9k,60174,1.0M,0,0,0,0,08:06,36:57
ViTaoX,8,29,2,428.8k,652.7k,91,326.5k,61266,1.7M,0,0,0,0,13:00,32:03
Germinix,0,17,1,13293,478.2k,1,274.1k,859.9k,33598,0,0,0,0,08:33,36:30
Blue,4,19,1,97740,505.1k,16,276.8k,163.3k,2.8M,0,0,0,0,08:47,36:16
Arquitorto,18,18,4,315.7k,618.6k,45,400.3k,58979,2.5M,0,0,0,0,08:15,36:48
TiuPita,30,19,3,476.9k,561.4k,69,344.0k,43678,3.2M,0,0,0,0,08:45,36:18
CorvoNegroo,35,16,3,983.4k,664.7k,133,477.7k,161.3k,1.3M,0,0,0,0,07:04,37:59
XxGILxX,5,29,1,244.2k,642.9k,22,311.6k,386.4k,4.3M,0,0,0,0,13:14,31:49
OPeres,19,16,4,431.2k,465.3k,38,281.0k,38448,2.4M,0,0,0,0,10:02,35:01
Kleinzera,12,14,3,335.8k,467.0k,31,322.4k,24976,14.4M,0,0,0,0,06:23,38:40
ExtincT,17,20,2,484.5k,568.9k,25,340.9k,42590,2.2M,0,36,0,0,09:41,35:22
Jdiew,30,14,3,787.4k,609.0k,83,449.1k,41731,1.1M,0,0,0,0,05:55,39:08
Voltroon,22,16,2,522.4k,512.1k,49,326.3k,39914,6.1M,0,0,0,0,07:00,38:03
LinnWatts,2,15,1,127.6k,232.3k,173,87122,15653,1.6M,362,0,332,0,09:03,36:00
Juggernauth,7,20,2,328.0k,599.2k,21,370.2k,50537,2.9M,0,0,0,0,11:19,33:44
BololoHAHAHAHA,27,20,5,683.0k,671.6k,53,441.6k,55488,5.8M,0,0,0,0,11:05,33:58
Japah,8,5,3,387.3k,107.1k,417,49962,7744,239.3k,0,0,0,0,04:13,40:50
Honsberg,0,26,0,80999,506.1k,31,210.9k,483.1k,37324,0,0,0,2,12:20,32:43
KIDISGRAMA,2,24,1,30390,558.3k,1,271.1k,1.0M,153.4k,0,0,0,0,11:49,33:14
Beatersx,4,27,2,280.1k,554.5k,75,247.5k,396.0k,781.8k,0,0,0,0,12:52,32:11
BloodAxe,5,23,1,415.6k,715.6k,82,384.5k,65830,2.0M,0,0,0,0,13:21,31:42
DEC,19,20,2,470.5k,591.1k,41,354.3k,39343,14.1M,0,0,0,0,08:37,36:26
GhostFarmer,7,24,2,434.2k,680.6k,40,400.8k,60090,2.7M,0,0,0,0,12:19,32:44
Tripaloska,16,22,2,887.6k,739.4k,102,480.1k,90077,2.3M,0,0,0,1,09:54,35:09
Tdz1,21,21,3,641.6k,666.0k,60,433.1k,59554,2.4M,0,0,30,0,09:02,36:01
